LocaleIdentifier,DE
LanguageName,German
MsgError,Fehler
MsgNotFound,Nicht gefunden
MsgConfirm,Bestätigen
MsgWarning,WARNHINWEIS!
MsgInfo,Info
MsgActions,Aktionen
BtnOK,OK
BtnSelect,Wählen Sie aus
BtnCancel,Abbrechen
BtnApply,Anwenden
BtnDownload,Downloaden
BtnEnter,Eingeben
BtnBack,Zurück
BtnAdd,Hinzufügen
BtnStarting,Starten
BtnStart,Start
BtnEnd,Ende
BtnStop,Stopp
BtnUpdate,Aktualisieren
BtnManage,Manager
BtnActual,Tatsächliche
BtnClose,Schließen
BtnCLOSE,Schließen
BtnYes,Ja
BtnNo,Nein
BtnSelectAll,Alle Auswählen
BtnUnselectAll,Auswahl Aufheben
BtnCustomer,Kunde
BtnManual,Manuell
BtnSkip,Überspringen
BtnSend,Versenden
BtnEdit,Bearbeiten
BtnSignIn,Anmelden
BtnShowAll,Alles Anzeigen
BtnOpen,Offen
BtnRetry,Erneut Versuchen
BtnAccept,Akzeptieren
BtnReload,Erneut Laden
BtnRefresh,Aktualisieren
BtnSave,Speichern
BtnDone,Fertig
BtnPrint,Drucken
BtnPrintLog,Protokoll Drucken
BtnDismiss,Abbrechen
BtnApprove,Genehmigen
BtnRefund,Rückerstattung
BtnLogin,Test
BtnClear,Löschen
BtnPay,Bezahlen
BtnStack,Stapeln
BtnExport,Exportieren
BtnOriginal,Original
BtnCustom,Kundenspezifisch
BtnSet,Einstellen
BtnCheckout,Checkout
BtnAddToOrder,Der Bestellung Hinzufügen
BtnAddToAppointment,Zum Termin hinzufügen
BtnSubmit,Abschicken
BtnAddTip,Trinkgeld Hinzufügen
BtnOverride,Überschreiben
BtnDelete,Löschen
BtnCapture,Erfassen
BtnCreateNew,Neu Erstellen
BtnCredit,Kredit
BtnPrintAll,Alle Drucken
BtnWithdraw,Zurückziehen
BtnWithdrawAll,Alle Zurückziehen
BtnVersionStatus,Versionsstatus
BtnBankKeyInit,Bankschlüssel Init.
BtnConnect,Verbinden
BtnDisconnect,Verbindung Trennen
BtnREPRINT,ERNEUT DRUCKEN
BtnADDTIP,Trinkgeld Hinzufügen
BtnOptions,Optionen
BtnFinalize,Abschließen
BtnLogout,Ausloggen
BtnInventory,Inventar
BtnDefault,Standard
BtnClosed,Geschlossen
BtnWait,Warten
BtnDriveOff,Als\nAbfahrt markieren
BtnGoToTransaction,Go to\nTransaction
BtnProceed,Weiter
BtnNext,Nächster
BtnNegative,Negativ
BtnSetTip,Trinkgeld Einstellen
BtnNoReceipt,Keine Quittung
BtnEmail,E-Mail
BtnFind,Finden
BtnOther,Andere
BtnAddNew,Neu Hinzufügen
BtnOwn,Eigene
BtnResetAllBalances,Zurücksetzen
BtnReset,Zurücksetzen
BtnChange,Wechsel
BtnContinue,Weiter
BtnStartOver,Erneut Starten
BtnConfirm,Bestätigen
BtnCancelPayment,Abbrechen\nZahlung
BtnCancelServiceFee,Abbrechen\nService Gebühr
BtnSubmitTicket,Ticket einreichen
BtnSendTicket,Versenden
MsgSearch,Suchen
MsgConnecting,Verbindung wird hergestellt...
MsgInvalidPIN,PIN Ungültig
MsgInvalidPassword,Ungültiges Kennwort
MsgDebugMode,DEBUG-MODUS
MsgEnterAmount,Betrag Eingeben
MsgTipIncluded,Inklusive
MsgTipIncludedShort,Service Inklusive
MsgConnectionFailed,Verbindung Fehlgeschlagen
MsgConnectionLost,Verbindungstest
MsgErrorOnPrinting,Beim Drucken ist ein Fehler aufgetreten.
BtnTextSMS,SMS
BtnRemove,Entfernen
BtnExpensify,Expensify
BtnBegin,Starten
BtnPrintPDF,PDF drucken
BtnIUnderstand,Ich verstehe
BtnEnterNewEmail,E-Mail Eingeben
MsgUnknownError,Unbekannter Fehler
MsgDeleted,Gelöscht
MsgMainNotFound,Keine Hauptstation
MsgMainFound,Online
BtnMenu,Haupt Menü
BtnCashDrawerTills,Kassenladen
BtnAccess,Akzeptieren
BtnNetworkSync,Synchronisierung wiederholen
BtnManagementConsole,Kunden Verwalten
MsgYes,Ja
MsgNo,Nein
MsgWith,mit
MsgWithAbbreviation,w/
MsgEachAbbreviation,jA.
MsgNote,Notiz
MsgPaymentDueWarning,"Trotz mehrfacher Mahnungen ist Ihre monatliche Rechnung unbezahlt geblieben. Wird diese nicht sofort beglichen, wird Ihr Zugriff zur POS-Anwendung beendet.\n\nUm weiterhin Transaktionen zu tätigen, verwenden Sie bitte unser Abrechnungsportal um Ihre Zahlung zu leisten, indem Sie auf den Link im oberen, rechten Ecken-Ende Ihrer Revel Management-Konsole klicken. Wenn Sie nicht in der Lage sind, durch das Portal zu zahlen, kontaktieren Sie bitte unser Rechnungsstellungs-Team zwischen 9.00 bis 18.00 Uhr PST unter 415-744-1433 ext 3.\n\nVielen Dank\n\nRevel Systems"
MsgPaymentDueWarningDisableBackend,SOFORTIGE HANDLUNG ERFORDERLICH: Konto Deaktivierung
MsgWrongVersion,"POS-Station Version %@ unterscheidet sich von der Version %@ der Haupt-Station. Stellen Sie sicher, dass es gleiche Versionen sind."
MsgWrongTime,"POS-Station Version %@ unterscheidet sich von der Version %@ der Haupt-Station. Stellen Sie sicher, dass es gleiche Versionen sind."
MsgMainStationAbsent,Bitte stellen Sie die Haupt-Station auf die Kommunikation mit dem Server ein.
MsgInvalidNetwork,Drucker und Kartenlesegerät funktionieren nicht solange bis Sie mit dem Revel-Netzwerk verbunden sind.
MsgSettingsRefreshRequired,Aktualisierung der Einstellungen erforderlich. Bitte abmelden um die Aktualisierung zu starten.
