LocaleIdentifier,SP
LanguageName,Spanish
MsgError,Error
MsgNotFound,No encontrado
MsgConfirm,Confirmar
MsgWarning,CUIDADO!
MsgInfo,Información
MsgActions,Acciones
BtnOK,Ok
BtnSelect,Seleccione
BtnCancel,Cancelar
BtnApply,Aplicar
BtnDownload,Descargar
BtnEnter,Ingresar
BtnBack,Atras
BtnAdd,Anadir
BtnStarting,Inicializando
BtnStart,Iniciar
BtnEnd,Fin
BtnStop,Detener
BtnUpdate,Actualizar
BtnManage,Gerente
BtnActual,Real
BtnClose,Cerrar
BtnCLOSE,CERRAR
BtnYes,Si
BtnNo,No
BtnSelectAll,Selec Todos
BtnUnselectAll,Quitar Todos
BtnCustomer,Cliente
BtnManual,Manual
BtnSkip,Obviar
BtnSend,Mandar
BtnEdit,Editar
BtnSignIn,Iniciar sesión
BtnShowAll,Mostrar Todos
BtnOpen,Abrir
BtnRetry,Tratar de nuevo
BtnAccept,Aceptar
BtnReload,Reload
BtnRefresh,Renovar
BtnSave,Guardar
BtnDone,Hecho
BtnPrint,Imprimir
BtnPrintLog,Imprimir Registro
BtnDismiss,Salir
BtnApprove,Aprobado
BtnRefund,Devolver
BtnLogin,Entrar
BtnClear,Borrar
BtnPay,Pagar
BtnStack,Pila
BtnExport,Exportar
BtnOriginal,Original
BtnCustom,Actualizar
BtnSet,Estable.
BtnCheckout,Salida registrada
BtnAddToOrder,Agregar a pedido
BtnAddToAppointment,A;adir a la cita
BtnSubmit,Ingresar
BtnAddTip,Agregar Propina
BtnOverride,Cambiar
BtnDelete,Borrar
BtnCapture,Capturar
BtnCreateNew,Crear nuevo
BtnCredit,Credito
BtnPrintAll,Imprimir Todos
BtnWithdraw,Retirar
BtnWithdrawAll,Retirar todos
BtnVersionStatus,Estado de la version
BtnBankKeyInit,Inic. Clave Bancaria
BtnConnect,Conectar
BtnDisconnect,Desconectar
BtnREPRINT,Re-imprimir
BtnADDTIP,AGREGAR PROPINAS
BtnOptions,Opciones
BtnFinalize,Finalizar
BtnLogout,Salir
BtnInventory,Inventario
BtnDefault,Por defecto
BtnClosed,Cerrado
BtnWait,Espera
BtnDriveOff,Marcar como\nMarchar sin pagar
BtnGoToTransaction,Ve a\nTransacción
BtnProceed,Proceder
BtnNext,Siguiente
BtnNegative,Negativo
BtnSetTip,Establecer propina
BtnNoReceipt,Sin recibo
BtnEmail,Correo electrónico
BtnFind,Buscar
BtnOther,Otros
BtnAddNew,Agregar nuevo
BtnOwn,Propio
BtnResetAllBalances,Restablecer todo
BtnReset,Restablecer
BtnChange,Vuelto
BtnContinue,Continuar
BtnStartOver,Volver a empezar
BtnConfirm,Confirmar
BtnCancelPayment,Cancelar\nPago
BtnCancelServiceFee,Cancelar\nCargo por servicio
BtnSubmitTicket,Enviar ticket
BtnSendTicket,Enviar ticket
MsgSearch,Búsqueda
MsgConnecting,Conectando...
MsgInvalidPIN,PIN Invalido
MsgInvalidPassword,Contrasena Invalida
MsgDebugMode,MODO DE DEPURACIÓN
MsgEnterAmount,Ingrese Monto
MsgTipIncluded,Incluida
MsgTipIncludedShort,Serv. Camb. Inc.
MsgConnectionFailed,Error de conexión
MsgConnectionLost,Pruebas de conexión
MsgErrorOnPrinting,Se produjo un error durante la impresión.
BtnTextSMS,SMS
BtnRemove,Elimina
BtnExpensify,Expensify
BtnBegin,Empezar
BtnPrintPDF,Imprimir PDF
BtnIUnderstand,Entiendo
BtnEnterNewEmail,Ingrese Correo Elec.
MsgUnknownError,Error desconocido
MsgDeleted,Eliminado
MsgMainNotFound,Sin Principal
MsgMainFound,Conectado
BtnMenu,MENU PRINC.
BtnCashDrawerTills,Gaveta de efectivo
BtnAccess,Aceptar
BtnNetworkSync,Reintentar sinc
BtnManagementConsole,Gestionar Clientes
MsgYes,Si
MsgNo,No
MsgWith,con
MsgWithAbbreviation,c/
MsgEachAbbreviation,ea.
MsgNote,Nota
MsgPaymentDueWarning,"Tu cuenta mensual sigue no pagado, a pesar de las notificaciones múltiples. Si esto no se resuelva inmediatamente, acceso a tu aplicación POS se terminará.\n\nPara continuar con transacciones, por favor haz tu pago usando nuestro portal de facturación haciendo click al enlace posicionado en la parte superior a la esquina derecha final de tu Consola Web de Revel. Si no puedes pagar a través del portal, por favor llama nuestro equipo de facturación entre 9AM y 6 PM PST a 415-744-1433 ext 3.\n\nMuchas gracias, \n\nRevel Systems"
MsgPaymentDueWarningDisableBackend,SE REQUIERE ACCIÓN INMEDIATA: Desactivación de la cuenta
MsgWrongVersion,La versión de la estación POS %@ difiere de la versión de la estación principal %@. Asegúrese de coincidan las versiones para restablecer la comunicación entre las estaciones.
MsgWrongTime,La versión de la estación POS %@ difiere de la versión de la estación principal %@. Asegúrese de coincidan las versiones para restablecer la comunicación entre las estaciones.
MsgMainStationAbsent,Por favor
MsgInvalidNetwork,Impresora y Tarjeta de credito no funciona si no esta en la red de Revel
MsgSettingsRefreshRequired,Es necesario actualizar la configuración.  Cierre la sesión y la actualización iniciará automáticamente.
MsgTroubleshootModeIsOnAlert,El Modo de resolución de problemas está ACTIVADO. Vaya a Configuración del Gerente y seleccione Modo de resolución de problemas para DESACTIVARLO.
MsgProductName,Nombre del Producto
MsgActionCancelled,Accion Cancelada
MsgWaitingForPinPad,Esperando por PinPad
MsgPurchaseCorrection,Correccion de Compra
MsgPleaseAskCustomerToPressRedButtonOnPinPad,Por favor pide a tu cliente que presiona botón rojo en el PinPad
MsgPaymentNotAddedToCurrentOrder,El pago no se anadio a la orden actual. Por favor contacte soporte tecnico!
MsgPaymentFailedToAddCurrentOrder,Error al agregar pago al pedido actual. Código de error - %d\n¡Póngase en contacto con soporte al cliente!
MsgUnableToCompletePayment,Usted esta tratando de cerrar un ticket propiedad de% @. Por favor
MsgUnableToCompletePaymentSwipeCard,Está tratando de cerrar un recibo que pertenece a %@.  Deslice una tarjeta de administrador para continuar.
MsgUpdating,Actualizando
MsgLockingFuelTransaction,Bloqueando transacción de combustible
MsgReleasingLock,Bloqueo de seguridad
MsgPaymentRefundNotSupportedCalliZettleCustomerSupport,Reembolso no está apoyado. ¡Por favor ponte en contacto con el apoyo técnico de iZettle!
MsgSyncingToCloud,Sincronizando al cloud
MsgUINotificationShowingNotificationNumberFromStack,Mostrando 1 de %d
MsgSelected,Seleccionado
MsgPaypalPaymentMaxAmount,El monto máximo para el pago con tarjeta de crédito es %@.
MsgPaypalTipAmountExceed,El monto de la propina no puede exceder el monto del recibo.
MsgPayPalOrderHasSplitBills,"Pedido tiene cuentas compartidas. Por favor, paga cada cuenta compartida separadamente"
MsgCrashTitle,Parece que se acaba de caer el Programa
MsgCrashPlaceholder,Indique brevemente por favor
MsgScalesNet,NETO
MsgScalesMultiplyTare,MultiplicarTare
MsgScalesSetTare,Establezca Tare
MsgScalesEnterWeight,Ingrese el peso
MsgScalesTare,Tara
MsgScalesOverrideError,Solo se puede anular cuando el peso es igual a 0
MsgScalesSelectTareCount,Seleccione cantidad de tare
MsgScalesCurrentTare,Cant. actual Tare
MsgScalesWeight,Peso
MsgScalesPrice,Precio
MsgScalesInputTare,Establezca Tare
MsgScalesEnterTareWeight,Ingrese el peso
MsgBarcodeScanProduct,Scan Producto
MsgBarcodeScanDiscountCode,Scan Codigo de descuento
MsgBarcodeEnterBarcode,Introduzca codigo de barra
MsgBarcodeEnterBarcodeWithTouch,Oprima aqui para introducir codigo de barra
MsgBarcodeProductNotFound,Producto con ese codigo de barra no encontrado
MsgBarcodeProductCloseMatch,Ningun resultado exacto encontrado. Resultados parecidos:
MsgBarcodeTheExactMatchesFound,Coincidencias encontradas:
MsgBarcodeSeveralProductsOrIngredientsWereFound,Se encontraron estos Productos e Ingredientes:
MsgBarcodeSelectProduct,Seleccionar producto
MsgBarcodeNameorBarcode,Nombre o código de barras
MsgBarcodeNameorBarcodePhone,Nombre/Código de barras
MsgBarcodeProductNotActive,El producto con el código de barras \n%@\ningresado no está activo
MsgMeasureUnitPounds,Libras
MsgMeasureUnitKilograms,Kilos
MsgMeasureUnitLiters,Litros
MsgMeasureUnitGallons,Galones
MsgMeasureUnitCubicMeters,Metros cúbicos
MsgMeasureUnitShortPounds,Lb
MsgMeasureUnitShortKilograms,Kg
MsgMeasureUnitShortLiters,L
MsgMeasureUnitShortGallons,G
MsgMeasureUnitShortCubicMeters,m3
BtnPayTransaction,Pagar\nTransacción
BtnClearTransaction,Borrar\nTransacción
BtnStackTransaction,Transacción \nAtascada
BtnOrderFastCreditShell,Crédito\nRápido
BtnOrderFastCashShell,Efectivo\nRápido
BtnGasStationActionBlockPump,Desactivar\nSurtidor
BtnGasStationActionUnblockPump,Activar\nSurtidor
BtnGasStationActionStopAllPumps,Parar todos\nSurtidores
BtnGasStationActionStopPump,Parar\nSurtidor
BtnGasStationActionReservePump,Reserva\nSurtidor
BtnGasStationActionPrePay,Pre pago
BtnGasStationActionCancelReservePump,Cancelar\nReserva
BtnGasStationActionAuthorizePump,Autorizar\nSurtidor
BtnGasStationActionCancelAuthorizePump,Cancelar\nAutorización
BtnGasStationActionPausePump,Pausar\nDispense
BtnGasStationActionResumePump,Reasumar\nDispense
BtnGasStationForecourtConnectionLost,Se ha perdido conexión. Reconectando
BtnGasStationForecourtConnected,Estación de combustible conectada
BtnGasStationFuelling,Abastecimiendo combustible
MsgGasStationChooseTransactionToWork,Manejar Transacción(es):
MsgLockedBy,Bloqueado por
MsgReservedBy,Reservado por
MsgConfirmation,Confirmacion
LblGasStationCurrentTransaction,(Actual)
LblGasStationStackTransaction,(Apilado)
MsgGasStationTransactionInfo,INFO DE TRANSACCIÓN:\n\nTransacción #%d\nNúmero de surtidor: %d\nImporte adeudado: %@\nCantidad: %.2f
MsgGasStationDriveOffTitle,Atención requerida en %@
MsgGasStationAttentionRequiredMessage,%@ %.2f %@ / %@ \nEsta transacción en %@ todavía no ha sido pagado.\nPor favor reacciona inmediatamente.
MsgGasStationDeliveryNotPaid,Entrega no pagada
MsgGasStationRefundTitle,Por favor Reembolsa
MsgGasStationNeedRefund,Necesitas Reembolsar
MsgGasStationNeedClear,Necesitar Borrar
MsgGasStationCantHoldTransaction,No puedes detener transacciones. Transacción incluye productos combustibles.
MsgGasStationCantRemoveTransaction,No puedes remover transacción actual. Transacción incluye productos combustibles.
MsgGasStationStopPumpConfirmation,¿De verdad quieres parar surtidor %@?
MsgGasStationStopAllPumpsConfirmation,¿De verdad quieres parar TODOS los surtidores?
MsgGasStationConfirmationTitle,Confirmación:
MsgGasStationCantAddFuelProductHoseBlocked,No puedes añadir Producto de Combustible a la transacción. Manguera está bloqueada
MsgGasStationRefundPrompt,"Cliente pagado %@, pero obtén combustible solo para %@\n¿Quieres reembolsar %@?"
MsgGasStationTransactionClearPrompt,Transacción ha terminado pero no se ha eliminado.\n¿Te gustaría eliminarla?
MsgGasStationTransactionLockedByTermId,ADVERTENCIA:\nEsta transacción se ha bloquead por terminal con id
MsgGasStationFuelTransactionIsAlreadyInTheOrderCloseCurrent,Combustible Txn #%d ya ha sido pagado en Transacción #%@. Por favor cierra la transacción actual para abrir transacción pasada.
MsgGasStationFuelTransactionIsAlreadyInTheOrder,Combustible Txn #%d ha sido pagado en Transacción #%@.
MsgGasStationFuelGrade,Grado de combustible
MsgGasStationDueAmount,Importe adeudado
MsgGasStationVolume,Cantidad
MsgGasStationFuelTransactionNotFound,No se puede encontrar transacción de combustible con id %d en %@
MsgGasStationCanNotLogOutFromEnabler,No puedes cerrar sesión de Enabler EMB.\nPor favor inténtalo de nuevo.
MsgGasStationChooseFuelGradeAndAmount,Elige grado de combustible e importe
MsgGasStationForecourtUpdatedRefreshRequired,Controlador de estación de combustible ha sido actualizado. Por favor conecta de nuevo este terminal a la Estación de combustible.
MsgGasStationNumberOfPumpsHasBeenChanged,Configuración de estación de combustible ha sido actualizada. Número de Surtidores ha sido cambiado.
MsgGasStationErrorForecourtIPisNotSet,IP dirección de Controlador de estación de combustible no está establecida.\nPor favor revisa ajustes de Consola web.
PaymentPumpTest,Prueba de surtidor
MsgGasStationPumpTest,Prueba de surtidor - %@
MsgGasStationPumpTestConfirmationMessage,Tanque destinatario es diferente que Tanque de fuente.\n¿Estas seguro que quieres devolver combustible a tanque diferente?\n\nFuente: %@\n\nObjeto: %@
MsgGasStationPumpTestErrorCantProcess,"Para procesar transacción como Prueba de Surtidor, por favor añade solo un artículo de combustible en transacción."
MsgGasStationPump,Surtidor
MsgGasStationHose,Manguera
MsgGasStationSourceTank,Tanque de fuente
MsgGasStationTargetTank,Tanque objetivo
MsgGasStationTestAmount,Importe adeudado
MsgGasStationClearTypeNormal,Normal
MsgGasStationClearTypeTest,Prueba
MsgGasStationClearTypeDriveOff,Marchar sin pagar
MsgGasStationClearTypeAttendant,Asistente
MsgGasStationAuthorizePromptTitle,¿Autorizar %@?
MsgGasStationCantAuthorizePump,No puedes autorizar %@. Surtidor está bloqueado.
MsgGasStationCantManagePump,No puedes manejar %@. Este surtidor reservado por terminal con id %d.
MsgGasStationPumpAskingAuthorization,Este surtidor está pidiendo autorización. ¿Te gustaría autorizar %@?
MsgGasStationTransaction#,Núm. de transacción
MsgGasStationTxn#,Txn #
BtnGasStationCancelTransaction,Cancelar transacción
BtnGasStationCloseTransaction,Cerrar transacción
BtnGasStationHoldTransaction,Detener Transacción
BtnGasStationHeaderOrders,Transacciones
BtnPinLogin,Entrar
BtnPinClockIn,Marque Entrada
BtnPinClockOut,Marque salida
BtnPinRefresh,Renovar
BtnPinClear,Borrar
BtnSwipeLogin,Inicio de sesión mediante tarjeta
BtnPinReset,Restablecer
MsgClockOutBreak,Descanso
BtnEndBreak,Finalizar descanso
MsgOrdersReportWarningOpenUnsyncedOrders,Usted tiene pedidos abiertos o no sincronizados:
MsgOrdersReportWarningCloseOrders,Cierre sus pedidos primero y espere a que se sincronicen o ingrese un NIP de administrador para completar la salida.
MsgLengthOfBreak,Duración de descanso
BtnManagerOverride,Anulación\ndel gerente
BtnClockInAsRole,Marcar entrada como\n%@
MsgPaidBreak,Descanso pagado
MsgUnpaidBreak,Descanso sin paga
MsgTakeABreak,Toma descanso
MsgPinDataNotDownloaded,Los datos del menu no se estan descargando del servidor
MsgPinRefreshDataTitle,Renovar Punto de venta
MsgPinRefreshDataContent,Renovar la configuracion de POS puede tomar un tiempo y solo se debe realizar cuando la consola web se cambia o cuando se quiere elegir una estacion diferente. Quieres continuar?
MsgPinUserNotLocked,El usuario no esta amarrado a este punto de venta
MsgPinUserIdIsNotAssigned,Id de usuario no está asignado.\nPor favor actualiza estación POS
MsgPinUnableToAccessPos,Activa acceso al POS.
MsgUserRequireAdminCardSwipe,Este usuario tiene que usar tarjeta de admin para iniciar sesión.
MsgPinInvalidPin,Ha introducido un PIN no valido. \nPor favor intentalo de nuevo
MsgPinPOSNotSet,Ningun establecimiento o estacion establecidos \n\n Favor actualizar!
MsgPinVersion,Versión: %@\nDirección MAC de este dispositivo: \n %@
MsgPinSelectStation,Seleccionar estacion
MsgPinPleaseSelectStation,Por favor selecciona la estación
MsgPinResetConfirm,¿Borrar todos los datos y reiniciar la aplicación?
MsgPinSentToEmail,Su NIP fue enviado a %@.
MsgPinPleaseUsePinToLogin,Utilice 1234 para iniciar sesión en la aplicación Revel Systems POS.
MsgPinInvalidIdentification,La ' %@' ID %@ de su estación POS no coincide con la configuración del servidor.
MsgPinInvalidIPAddress,La dirección IP de la estación de POS ' %@' no coincide con la configuración del servidor.
MsgPinIdentificationUpdateSuccess,La “%@” ID de la estación POS se actualizó correctamente. Actualice todas las estaciones.
MsgPinIdentificationUpdateFail,Error al actualizar la ID '%@' de la estación POS.
MsgPinIPAddressUpdateSuccess,La dirección IP de la estación POS '%@' se actualizó correctamente. Actualice todas las estaciones
MsgPinIPAddressUpdateFail,Error al actualizar la dirección IP de la estación POS '%@'.
MsgPinInvalidSettingsTitle,Su configuración no coincide.
MsgPinInvalidLoginMethod,Inicie sesión deslizando una tarjeta.  No se admite la entrada manual.
MsgPinRedirectedPrintersInfo,Usted tiene %d impresora(s) redirigida(s)
MsgUserRequireAdminCard,Este usuario tiene que usar tarjeta de admin para %@.
MsgProvisionEnterPin,Introduzca Pin de provision
MsgProvisionPin,NIP provisional
MsgUseProvisionPin,Usa PIN Provisional
MsgDiningTitle,Comiendo
MsgDiningOrderOptionTitle,Opción de pedidos
MsgDiningEatInOrTakeOut,Comer aqui o para llevar
MsgDiningTakeOut,Para Llevar
MsgDiningWebOrder,Pedido en línea
MsgDiningWebInvoice,Factura Web
MsgDiningCatering,Servicio de catering
MsgDiningDriveThrough,Servicio en ventanilla
MsgDiningShipping,Envío
MsgDiningOther,Otros
MsgDiningRetail,Venta minorista
MsgDiscountTitle,Descuento
MsgDiscountSelectItemTitle,Selec. Articulo a Descontar
MsgDiscountSelectDiscount,Selc. Descuento
MsgDiscountCreateOrderFirst,Favor crear la orden primero
MsgDiscountItemAmountTooSmall,Articulo no cumple con importe minimo
MsgDiscountAmount,Cantidad
MsgDiscountValue,Valor
MsgDiscountAmountOff,Importe de descuento
MsgDiscountPercent,Porcentaje
MsgDiscountReprice,Ajustar precio
MsgDiscountAltPrice,Precio alt
MsgDiscountEnterAmount,Ingrese Monto
MsgDiscountEnterValue,Ingrese valor
MsgDiscountTaxed,Gravado
MsgDiscountEnterReason,Ingrese la Razon
MsgDiscountEnterReasonAndAmount,Favor ingresar ambos
MsgDiscountEnterAnotherReason,Ingrese otra razón de descuento.
MsgDiscountNoDiscountsForCode,No hay descuentos activos encontrados para el codigo de descuento suministrado
MsgDiscountLoaylTreeWait,Waiting for LoaylTree response
