LocaleIdentifier,ET
LanguageName,Estonian
AlphabetString,ABCDEFGHIJKLMNOPQRSŠZŽTUVWÕÄÖÜXY
MsgError,Tõrge
MsgNotFound,Ei leitud
MsgConfirm,Kinnita
MsgWarning,HOIATUS!
MsgInfo,Teave
MsgActions,Toimingud
BtnOK,OK
BtnSelect,Valige
BtnCancel,Tühista
BtnApply,Kohalda
BtnDownload,Laadi alla
BtnEnter,Sisesta
BtnBack,Tagasi
BtnAdd,Lisa
BtnStarting,Alustamine
BtnStart,Alusta
BtnEnd,Lõpp
BtnStop,Lõpeta
BtnUpdate,Uuenda
BtnManage,Haldur
BtnActual,Tegelik
BtnClose,Sulge
BtnCLOSE,SULGE
BtnYes,Jah
BtnNo,Ei
BtnSelectAll,Vali kõik
BtnUnselectAll,Tühista valik
BtnCustomer,Klient
BtnManual,Manuaalrežiim
BtnSkip,Jäta vahele
BtnSend,Saada
BtnEdit,Muuda
BtnReorder,Kordustellimus
BtnSignIn,Logi sisse
BtnSignOut,Logi välja
BtnSignUp,Registreeru
BtnCreateNewOrder,Loo uus tellimus
BtnTryAgain,Proovi uuesti
BtnShowAll,Kuva kõik
BtnOpen,Ava
BtnRetry,Proovi uuesti
BtnAccept,Nõustu
BtnReload,Laadi uuesti
BtnRefresh,Värskenda
BtnSave,Salvesta
BtnDone,Valmis
BtnPrint,Prindi
BtnPrintLog,Prindi logi
BtnDismiss,Loobu
BtnApprove,Kiida heaks
BtnRefund,Tagasimakse
BtnLogin,Logi sisse
BtnClear,Kustuta
BtnPay,Maksa
BtnStack,Virnasta
BtnExport,Ekspordi
BtnOriginal,Originaal
BtnCustom,Kohandatud
BtnSet,Määra
BtnCheckout,Vormista
BtnAddToOrder,Lisa tellimusele
BtnAddToAppointment,Lisa Kohtumistesse
BtnSubmit,Esita
BtnAddTip,Lisa jootraha
BtnOverride,Alista
BtnDelete,Kustuta
BtnCapture,Hõiva
BtnCreateNew,Loo uus
BtnCredit,Krediit
BtnPrintAll,Prindi kõik
BtnWithdraw,Võta välja
BtnWithdrawAll,Võta kõik välja
BtnVersionStatus,Versiooni olek
BtnBankKeyInit,Pangakoodi läht.
BtnConnect,Ühenda
BtnDisconnect,Katkesta ühendus
BtnREPRINT,PRINDI UUESTI
BtnADDTIP,LISA JOOTRAHA
BtnOptions,Suvandid
BtnFinalize,Lõpeta
BtnLogout,Logi välja
BtnInventory,Laoseis
BtnDefault,Vaikeseade
BtnClosed,Suletud
BtnWait,Oota
BtnDriveOff,Märgi\närasõitnuks
BtnGoToTransaction,Mine\ntehingu juurde
BtnProceed,Jätka
BtnNext,Edasi
BtnNegative,Negatiivne
BtnSetTip,Määra jootraha
BtnNoReceipt,Kviitungit pole vaja
BtnEmail,Meiliaadress
BtnFind,Otsi
BtnOther,Muu
BtnAddNew,Lisa uus
BtnOwn,Oma
BtnResetAllBalances,Lähtesta kõik
BtnReset,Lähtesta
BtnChange,Vaheta
