LocaleIdentifier,FR
LanguageName,French
MsgError,Erreur
MsgNotFound,Introuvable
MsgConfirm,Confirmer
MsgWarning,ATTENTION !
MsgInfo,Info
MsgActions,Actions
BtnOK,O.K.
BtnSelect,Sélectionner
BtnCancel,Annuler
BtnApply,Appliquer
BtnDownload,Télécharger
BtnEnter,Entrer
BtnBack,Retour
BtnAdd,Ajouter
BtnStarting,Départ
BtnStart,Démarrer
BtnEnd,Fin
BtnStop,Arrêter
BtnUpdate,Mettre à jour
BtnManage,Responsable
BtnActual,Réel
BtnClose,Fermer
BtnCLOSE,FERMER
BtnYes,Oui
BtnNo,Non
BtnSelectAll,Sélectionner tout
BtnUnselectAll,Désélectionner tout
BtnCustomer,Client
BtnManual,Saisie manuelle
BtnSkip,Passer
BtnSend,Envoyer
BtnEdit,Modifier
BtnSignIn,S’inscrire
BtnShowAll,Afficher tout
BtnOpen,Ouvert
BtnRetry,Réessayer
BtnAccept,Accepter
BtnReload,Recharger
BtnRefresh,Actualiser
BtnSave,Enregistrer
BtnDone,Fini
BtnPrint,Imprimer
BtnPrintLog,Imprimer le journal
BtnDismiss,Rejeter
BtnApprove,Approuver
BtnRefund,Rembourser
BtnLogin,Entrer
BtnClear,Annuler
BtnPay,Payer
BtnStack,Empiler
BtnExport,Exporter
BtnOriginal,Original
BtnCustom,Personnaliser
BtnSet,Définir
BtnCheckout,Caisse
BtnAddToOrder,Ajouter à la commande
BtnAddToAppointment,Ajouter au rendez-vous
BtnSubmit,Soumettre
BtnAddTip,Ajouter un pourboire
BtnOverride,Forcer
BtnDelete,Supprimer
BtnCapture,Capturer
BtnCreateNew,Créer nouveau
BtnCredit,Crédit
BtnPrintAll,Imprimer tout
BtnWithdraw,Retirer
BtnWithdrawAll,Retirer tout
BtnVersionStatus,Statut de la version
BtnBankKeyInit,Init. de la clé de banque
BtnConnect,Connecter
BtnDisconnect,Déconnecter
BtnREPRINT,RÉIMPRIMER
BtnADDTIP,AJ. POURBOIRE
BtnOptions,Options
BtnFinalize,Finaliser
BtnLogout,Quitter
BtnInventory,Inventaire
BtnDefault,Par défaut
BtnClosed,Fermé
BtnWait,Attendre
BtnDriveOff,Marqué comme\nVol de carburant
BtnGoToTransaction,Aller sur\nTransaction
BtnProceed,Poursuivre
BtnNext,Suivant
BtnNegative,Négatif
BtnSetTip,Définir le pourboire
BtnNoReceipt,Non
BtnEmail,E-mail
BtnFind,Trouver
BtnOther,Autres
BtnAddNew,Ajouter nouveau
BtnOwn,Détenir
BtnResetAllBalances,Réinitialiser tout
BtnReset,Réinitialiser
BtnChange,Changer
BtnContinue,Continuer
BtnStartOver,Recommencer
BtnConfirm,Confirmer
BtnCancelPayment,Annuler\nle paiement
BtnCancelServiceFee,Annuler\nFrais de service
BtnSubmitTicket,Créer un ticket
BtnSendTicket,Envoyer
MsgSearch,Rechercher
MsgConnecting,Connexion...
MsgInvalidPIN,Code PIN invalide
MsgInvalidPassword,Mot de passe invalide
MsgDebugMode,Mode déboggage
MsgEnterAmount,Saisir le montant
MsgTipIncluded,Inclus
MsgTipIncludedShort,Fr. Serv. Inc.
MsgConnectionFailed,Échec de la connexion
MsgConnectionLost,Tests de connexion
MsgErrorOnPrinting,Une erreur s’est produite lors de l’impression.
BtnTextSMS,SMS
BtnRemove,Supprimer
BtnExpensify,Expensify
BtnBegin,Débuter
BtnPrintPDF,Imprimer PDF
BtnIUnderstand,Je comprends.
BtnEnterNewEmail,Saisir l’e-mail
MsgUnknownError,Erreur inconnue
MsgDeleted,Supprimé
MsgMainNotFound,Principal introuvable
MsgMainFound,En ligne 
BtnMenu,MENU
BtnCashDrawerTills,Tiroirs-caisses
BtnAccess,Accepter
BtnNetworkSync,Réessayer la synchronisation
BtnManagementConsole,Gérer les clients
MsgYes,Oui
MsgNo,Non
MsgWith,avec
MsgWithAbbreviation,avec
MsgEachAbbreviation,ta.
MsgNote,Commentaire
MsgPaymentDueWarning,"Votre facture mensuelle n'est toujours pas reglée malgré de multiples avertissements. Si non reglée immédiatemment, votre application TPV sera bloquée.\n\nPour continuer vos transactions, merci de regler le paiement utilisant le portail de facturation en cliquant sur le lien en haut à droite de votre Console de gestion Revel. Si vous ne pouvez pas la regler via ce portail, merci d'appeler notre équipe de finances entre  9h00 et 18h00 au 415-744-1433 ext 3.\n\nMerci,\n\nRevel Systems"
MsgPaymentDueWarningDisableBackend,ACTION IMMÉDIATE REQUISE: Désactivation du compte
MsgWrongVersion,La version du TPV %@ diffère de celle du TPV principal %@. Assurez-vous que les versions correspondent pour rétablir la communication entre les TPV.
MsgWrongTime,La version du TPV %@ diffère de celle du TPV principal %@. Assurez-vous que les versions correspondent pour rétablir la communication entre les TPV.
MsgMainStationAbsent,Veuillez définir le terminal principal pour communiquer avec le serveur.
MsgInvalidNetwork,L’imprimante et le lecteur de cartes  ne fonctionneront que si vous vous connectez au réseau sans fil Revel.
MsgSettingsRefreshRequired,L’actualisation des paramètres est requise. Fermez la session et l’actualisation démarrera automatiquement.
MsgTroubleshootModeIsOnAlert,"Le mode Résolution des problèmes activé. Aller aux Paramètres/Responsable/Mode Résolution des problèmes, puis désactivez-le (OFF)."
MsgProductName,Nom du produit
MsgActionCancelled,Action annulée
MsgWaitingForPinPad,En attente de PinPad
MsgPurchaseCorrection,Modification de l’achat
MsgPleaseAskCustomerToPressRedButtonOnPinPad,Veuillez demander au client d’appuyer sur le bouton rouge de PinPad
MsgPaymentNotAddedToCurrentOrder,Pas de paiement ajouté à la commande en cours.\nMerci de contacter l’assistance client.
MsgPaymentFailedToAddCurrentOrder,Impossible d’ajouter le paiement à la commande en cours. Code d’erreur - %d\nMerci de contacter l’assistance client.
MsgUnableToCompletePayment,Vous essayez de fermer un ticket appartenant à %@.\nEntrez le PIN Administrateur pour poursuivre.
MsgUnableToCompletePaymentSwipeCard,Vous essayez de fermer un ticket appartenant à %@.\nUtilisez une carte Administrateur pour poursuivre.
MsgUpdating,Mise à jour
MsgLockingFuelTransaction,Verrouillage de la transaction de carburant
MsgReleasingLock,Verrou libérant
MsgPaymentRefundNotSupportedCalliZettleCustomerSupport,Le remboursement n’est pas pris en charge. Contactez le service client d’iZettle !
MsgSyncingToCloud,Synchronisation vers le cloud
MsgUINotificationShowingNotificationNumberFromStack,1 sur %d
MsgSelected,Sélectionné
MsgPaypalPaymentMaxAmount,Le montant maximum d’un paiement par carte de crédit est de %@.
MsgPaypalTipAmountExceed,Le pourboire ne peut pas excéder le montant du reçu.
MsgPayPalOrderHasSplitBills,Additions divisées pour la commande. Veuillez payer chaque addition séparément.
MsgCrashTitle,Un incident s’est produit avec le TPV.
MsgCrashPlaceholder,Expliquez brièvement ce que vous faisiez quand l’incident s’est produit.
MsgScalesNet,NET
MsgScalesMultiplyTare,Multiplier la tare
MsgScalesSetTare,Définir la tare
MsgScalesEnterWeight,Saisir le poids
MsgScalesTare,Tare
MsgScalesOverrideError,"Vous pouvez forcer le poids uniquement lorsque celui-ci est égal à 0,0."
MsgScalesSelectTareCount,Sélectionner le total de tare
MsgScalesCurrentTare,Tare actuelle
MsgScalesWeight,Poids
MsgScalesPrice,Prix
MsgScalesInputTare,Entrer la tare
MsgScalesEnterTareWeight,Entrer le poids de la tare
MsgBarcodeScanProduct,Scanner le produit
MsgBarcodeScanDiscountCode,Scanner le code de réduction
MsgBarcodeEnterBarcode,Saisir le code-barres
MsgBarcodeEnterBarcodeWithTouch,Entrez le code-barres ici
MsgBarcodeProductNotFound,Le produit équipé du code-barres\n%@\nest introuvable.
MsgBarcodeProductCloseMatch,Aucune correspondance exacte trouvée. Correspondances approximatives :
MsgBarcodeTheExactMatchesFound,Correspondances trouvées :
MsgBarcodeSeveralProductsOrIngredientsWereFound,Ces produits et ingrédients ont été trouvés :
MsgBarcodeSelectProduct,Sélectionner le produit
MsgBarcodeNameorBarcode,Nom ou code-barres
MsgBarcodeNameorBarcodePhone,Nom/code-barres
MsgBarcodeProductNotActive,Le produit doté de code-barres\n%@\nn’est pas actif.
MsgMeasureUnitPounds,Livres
MsgMeasureUnitKilograms,Kilogrammes
MsgMeasureUnitLiters,Litres
MsgMeasureUnitGallons,Gallons
MsgMeasureUnitCubicMeters,Mètres cubes
MsgMeasureUnitShortPounds,Lb
MsgMeasureUnitShortKilograms,kg
MsgMeasureUnitShortLiters,l
MsgMeasureUnitShortGallons,g
MsgMeasureUnitShortCubicMeters,m3
BtnPayTransaction,Payer la \ntransaction
BtnClearTransaction,Supprimer la \nTransaction
BtnStackTransaction,Empiler la \ntransaction
BtnOrderFastCreditShell,Crédit\nrapide
BtnOrderFastCashShell,Espèces\nRapides
BtnGasStationActionBlockPump,Bloquer la \npompe
BtnGasStationActionUnblockPump,Débloquer la \npompe
BtnGasStationActionTogglePumpLights,Allumer les \nlampes de la pompe
BtnGasStationActionStopAllPumps,Arrêter toutes les \npompes
BtnGasStationActionStopPump,Arrêter la \npompe
BtnGasStationActionReservePump,Réserver la \npompe
BtnGasStationActionPrePay,Prépayer
BtnGasStationActionCancelReservePump,Annuler la\n réservation
BtnGasStationActionAuthorizePump,Autoriser la \npompe
BtnGasStationActionCancelAuthorizePump,Annuler l’\nautorisation
BtnGasStationActionPausePump,Interrompre la \ndistribution
BtnGasStationActionResumePump,Reprendre la \ndistribution
BtnGasStationForecourtConnectionLost,Connexion à l’avant-cour perdue. Reconnexion
BtnGasStationForecourtConnected,Avant-cour connectée
BtnGasStationFuelling,Prise d’essence
MsgGasStationChooseTransactionToWork,Gérer la transaction:
MsgLockedBy,Verrouillé par
MsgReservedBy,Réservé par
MsgConfirmation,Confirmation
LblGasStationCurrentTransaction,(Actuelle)
LblGasStationStackTransaction,(Empilée)
MsgGasStationTransactionInfo,INFO TRANSACTION:\n\nTransaction n%d\nNuméro de pompe: %d\nMontant dû: %@\nVolume: %.2f
MsgGasStationDriveOffTitle,Attention requise pour %@
MsgGasStationAttentionRequiredMessage,%@ %.2f %@ / %@ \n Cette transaction sur %@ nest pas payée.\nVeuillez la traiter maintenant.
MsgGasStationDeliveryNotPaid,Livraison Non Payé
MsgGasStationRefundTitle,Merci de rembourser
MsgGasStationNeedRefund,Nécessaire de rembourser
MsgGasStationNeedClear,Supprésion necessaire
MsgGasStationCantHoldTransaction,Impossible de suspendre la transaction. La transaction inclut les produits combustibles.
MsgGasStationCantRemoveTransaction,Impossible dannuler la transaction. La transaction a des produits de carburant.
MsgGasStationStopPumpConfirmation,Voulez-vous vraiment arrêter la pompe %@?
MsgGasStationStopAllPumpsConfirmation,Voulez-vous vraiment arrêter toutes les pompes ?
MsgGasStationConfirmationTitle,Confirmation :
MsgGasStationCantAddFuelProductHoseBlocked,Impossible d’ajouter un produit combustible à la transaction. Le tuyau est bloqué.
MsgGasStationRefundPrompt,"Client a payé %@, mais carburant uniquement pour %@\nVoulez-vous rembourser %@?"
MsgGasStationTransactionClearPrompt,Transactions terminées mais pas supprimées.\nVoulez-vous les supprimer?
MsgGasStationTransactionLockedByTermId,AVERTISSEMENT:\nCette transaction est verouillée par le terminal avec identifiant
MsgGasStationFuelTransactionIsAlreadyInTheOrderCloseCurrent,Le Txn de carburant N°%d a déjà été payé à la transaction N°%@. Veuillez fermer la transaction en cours pour ouvrir une transaction précédente.
MsgGasStationFuelTransactionIsAlreadyInTheOrder,Le Txn de carburant N°%d a déjà été payé à la transaction N°%@.
MsgGasStationFuelGrade,Qualité du carburant
MsgGasStationDueAmount,Montant dû
MsgGasStationVolume,Volume
MsgGasStationFuelTransactionNotFound,Transaction carburant introuvable avec id %d sur %@
MsgGasStationCanNotLogOutFromEnabler,Impossible de se déconnecter d’Enabler EMB.\nVeuillez réessayer.
MsgGasStationChooseFuelGradeAndAmount,Choisissez le grade et la quantité du carburant
MsgGasStationForecourtUpdatedRefreshRequired,Le controlleur de l’avant-cour a été mis à jour. Merci de reconnecter cette station à l’avant-cour.
MsgGasStationNumberOfPumpsHasBeenChanged,Configuration du contrôleur de l’avant-cour a été mise à jour. Nombre de pompes a été changé. 
MsgGasStationErrorForecourtIPisNotSet,Ladresse IP du contrôleur de lavant-cours nest pas définie.\nVeuillez vérifier les paramètres de la console de gestion.
PaymentPumpTest,Test de la pompe
MsgGasStationPumpTest,Test de la pompe - %@
MsgGasStationPumpTestConfirmationMessage,Le réservoir cible et le réservoir source sont différents.\nVoulez-vous retourner du carburant dans un tank différent quand même?\n\nSource: %@\n\nCible: %@
MsgGasStationPumpTestErrorCantProcess,Veuillez n’ajouter qu’un seul produit de carburant pour traiter la transaction comme le test de la pompe.
MsgGasStationPump,Pompe
MsgGasStationHose,Pistolet de pompe
MsgGasStationSourceTank,Réservoir source
MsgGasStationTargetTank,Réservoir cible
MsgGasStationTestAmount,Montant dû
MsgGasStationClearTypeNormal,Normal
MsgGasStationClearTypeTest,Test
MsgGasStationClearTypeDriveOff,Vol de carburant
MsgGasStationClearTypeAttendant,Préposé
MsgGasStationAuthorizePromptTitle,Autoriser %@?
MsgGasStationCantAuthorizePump,Autorisation impossible%@. La pompe est bloquée.
MsgGasStationCantManagePump,Gestion impossible%@. Cette pompe a été réservée par le terminal avec l’ID %d.
MsgGasStationPumpAskingAuthorization,Cette pompe demande une autorisation. Voulez-vous donner une autorisation %@?
MsgGasStationTransaction#,N° de transaction
MsgGasStationTxn#,Tx n°
BtnGasStationCancelTransaction,Annuler la transaction
BtnGasStationCloseTransaction,Fermer la transaction
BtnGasStationHoldTransaction,Suspendre la transaction
BtnGasStationHeaderOrders,Transactions
BtnPinLogin,Entrer
BtnPinClockIn,Pointer à l’arrivée
BtnPinClockOut,Pointer au départ
BtnPinRefresh,Actualiser
BtnPinClear,Annuler
BtnSwipeLogin,Utiliser une carte pour entrer
BtnPinReset,Réinitialiser
MsgClockOutBreak,Pause
BtnEndBreak,Fin de la pause
MsgOrdersReportWarningOpenUnsyncedOrders,Vous avez ouvert et/ou désynchronisé des commandes :
MsgOrdersReportWarningCloseOrders,"Fermez vos commandes, puis attendez leur synchronisation ou saisissez un code PIN administrateur pour terminer le pointage."
MsgLengthOfBreak,Durée de la pause
BtnManagerOverride,Forcer avec\n le code PIN de responsable
BtnClockInAsRole,Pointer à l’heure d’arrivée comme \n%@
MsgPaidBreak,Pause rémunérée
MsgUnpaidBreak,Pause non rémunérée
MsgTakeABreak,Prendre une pause
MsgPinDataNotDownloaded,Les données du menu n’ont pas été téléchargées depuis le serveur.
MsgPinRefreshDataTitle,Actualiser le TPV
MsgPinRefreshDataContent,"L’actualisation du TPV peut prendre du temps, à utiliser uniquement suite aux changements dans la console de gestion. Voulez-vous continuer ?"
MsgPinUserNotLocked,Lutilisateur nest pas verrouillé à ce TPV.
MsgPinUserIdIsNotAssigned,L’id de l’utilisateur n’est pas attribué.\nVeuillez actualiser le TPV.
MsgPinUnableToAccessPos,Impossible d’accéder au TPV.
MsgUserRequireAdminCardSwipe,Cet utilisateur doit utiliser une carte administrateur pour entrer.
MsgPinInvalidPin,Vous avez saisi un code PIN invalide.\nMerci de réessayer.
MsgPinPOSNotSet,Aucun établissement ou terminal TPV définis ! \n\nVeuillez actualiser !
MsgPinVersion,Version: %@\nAdresse MAC de ce périphérique:\n %@
MsgPinSelectStation,Sélectionner un terminal
MsgPinPleaseSelectStation,Merci de sélectionner une station
MsgPinResetConfirm,Effacer toutes les données et réinitialiser l’application?
MsgPinSentToEmail,Votre code PIN a été envoyé à %@.
MsgPinPleaseUsePinToLogin,Veuillez saisir 1234 pour entrer à l’application de TPV Revel Systems.
MsgPinInvalidIdentification,L’ID %@ de votre TPV %@ ne correspond pas aux paramètres de la console de gestion.
MsgPinInvalidIPAddress,Ladresse IP du TPV %@ ne correspond pas aux paramètres de la console de gestion.
MsgPinIdentificationUpdateSuccess,Mise à jour de l’ID du TPV %@ réussie. Actualisez tous les terminaux.
MsgPinIdentificationUpdateFail,Échec de la mise à jour de l’ID du TPV %@.
MsgPinIPAddressUpdateSuccess,Mise à jour de l’adresse IP du TPV %@ réussie. Actualisez tous les terminaux.
MsgPinIPAddressUpdateFail,Échec de la mise à jour de l’adresse IP du terminal TPV %@.
MsgPinInvalidSettingsTitle,Vos paramètres ne correspondent pas.
MsgPinInvalidLoginMethod,Utilisez la carte pour entrer.  La saisie manuelle nest pas prise en charge.
MsgPinRedirectedPrintersInfo,Vous avez %d imprimante(s) redirigée(s)
MsgUserRequireAdminCard,Cet utilisateur doit utiliser une carte administrateur pour %@.
MsgProvisionEnterPin,Saisir le code PIN d’activation
MsgProvisionPin,Code PIN d’activation
MsgUseProvisionPin,Utiliser le PIN d’activation
MsgDiningTitle,Restauration
MsgDiningOrderOptionTitle,Option de commande
MsgDiningEatInOrTakeOut,Sur place ou à emporter ?
MsgDiningTakeOut,À emporter
MsgDiningWebOrder,Commande en ligne
MsgDiningWebInvoice,Facture web
MsgDiningCatering,Traiteur
MsgDiningDriveThrough,Drive Through
MsgDiningShipping,Expédition
MsgDiningOther,Autres
MsgDiningRetail,Vente au détail
MsgDiscountTitle,Réduction
MsgDiscountSelectItemTitle,Sélectionner le produit pour la réduction
MsgDiscountSelectDiscount,Sélectionner la réduction
MsgDiscountCreateOrderFirst,Veuillez d'abord créer la commande.MsgDiscountItemAmountTooSmall
MsgDiscountItemAmountTooSmall,Le montant du produit ne correspond pas au montant minimum pour la réduction.
MsgDiscountAmount,Montant
MsgDiscountValue,Valeur
MsgDiscountAmountOff,Montant de la réduction
MsgDiscountPercent,Pourcent
MsgDiscountReprice,Fixer nv prix
MsgDiscountAltPrice,Prix spécial
MsgDiscountEnterAmount,Saisir le montant
MsgDiscountEnterValue,Saisir une valeur
MsgDiscountTaxed,Taxée
MsgDiscountEnterReason,Saisir le motif
MsgDiscountEnterReasonAndAmount,Veuillez saisir un motif et un montant.
MsgDiscountEnterAnotherReason,Veuillez saisir un autre motif pour la réduction.
MsgDiscountNoDiscountsForCode,Aucune réduction trouvée pour le code de réduction fourni.
MsgDiscountLoaylTreeWait,En attente d’une réponse de LoyalTree...
MsgDiscountLoaylTreeTitle,LoyalTree
MsgDiscountLoaylTreeReset,"Pour appliquer cette réduction, annulez d'abord les récompenses LoyalTree."
MsgDiscountRegularPrice,Prix régulier
MsgDiscountSavingValue,Valeur accumulée
MsgDiscountType,Type de réduction
MsgNoDiscountsToApply,Aucune réduction à appliquer.
MsgDiscountENTCardAmountHasBeenReturned,Le montant ENT a été rendu sur la carte
MsgDiscountENTCardDoesntBelongToAnyUser,La carte non valide. Aucun titulaire trouvé pour la carte utilisée.
MsgDiscountENTCardDoesntBelongToCurrentUser,La carte non valide. La carte utilisée n’appartient pas à %@
MsgDiscountENTCardTipWontBeAppliedForENT,Impossible d’appliquer un pourboire en utilisant les cartes ENT
MsgDiscountENTCardDisabled,"Pour continuer, veuillez configurer les cartes ENT sur la console de gestion "
MsgPleaseRemoveOrderDiscountToProceedENTCard,Supprimez la réduction sur cette commande pour utiliser la carte ENT
MsgDiscountENTCardCantApplyToPartiallyPaid,La carte ENT ne peut pas être utilisée pour les commandes partiellement payées
MsgDiscountENTNotSupported,Les cartes ENT ne sont pas supportées en mode TPV actuel
MsgDiscountENTCardCantUpdate,Impossible de mettre à jour le solde de la carte ENT
MsgStoreCreditCardCantUpdate,Impossible de mettre à jour le solde de la carte ENT
BtnDiscountScan,Scanner
BtnDiscountPart,% de réduction
BtnDiscountNoDiscount,Aucune réduction
BtnApplyDiscounts,Appliquer les réductions
MsgChoosePrevailingTaxes,Sélectionner les taxes en vigueur
MsgTitleSelectTaxExeptionReason,Veuillez saisir un motif pour l’exonération fiscale.
MsgTaxExemptionReasonPaidWithEBT,Payée avec titres restaurant.
MsgTaxExemptionReasonColdItem,Produit froid à emporter
MsgTaxExemptionReasonColdItemDelivery,Livraison du produit froid
MsgTaxExemptionReasonTaxFreeCustomer,Client exempt de taxe
MsgTaxExemptionReasonZeroTaxRate,Taux dimposition zéro
MsgServiceFeeTitle,Frais de service
MsgServiceFeeAmountOff,Montant ajouté
MsgServiceFeeAmount,Montant
MsgServiceFeeEnterAmount,Saisir le montant
MsgServiceFeeEnterReason,Saisir le motif
MsgServiceFeePercent,Pourcent
MsgServiceFeeTaxed,Taxée
MsgServiceFeePostTax,Après taxe
MsgServiceFeeEnterReasonAndAmount,Veuillez saisir un motif et un montant.
MsgServiceFeePleaseEnterPositiveServiceFeeValue,Saisissez une valeur positive.
BtnServiceFeesTitle,Frais de service
BtnServiceFeesNoServiceFee,Aucun frais de service
MsgServiceFeeWrongName,Un frais de service du même nom existe déjà. Renommez-le ou appliquez un tarif différent.
MsgServiceFeeAlreadyHasServiceFees,Des frais de service ont déjà été appliqués à cette commande.\n Attribuez-les à la commande correspondante.
MsgServiceFeeAdded,Un frais de service d’un montant de %@ a été ajoutés \n au paiement de %@.
MsgBalanceDue,Solde dû
MsgServiceFee,Frais de service
MsgServiceFeeCardType,Frais de service - Type de carte
MsgServiceFeeChooseCardType,Choisissez le type de carte ci-dessous.
MsgNoFee,Pas de frais
MsgServiceFeeForCreditPayments,Des frais de service sont appliqués aux paiements par carte.
MsgOldTotal,Ancien total
MsgNewTotal,Nouveau total
MsgOrderFieldName,Nom
MsgOrderFieldQty,Qté
MsgOrderFieldEach,Prix unit.
MsgOrderFieldTotal,Total
MsgOrderTotalsDiscount,Réductions:
MsgOrderTotalsSubtotal,Sous-total:
MsgOrderTotalsSubtotal2,Sous-total:
MsgOrderTotalsSurcharge,Supplément:
MsgOrderTotalsTax,Taxe:
MsgOrderTotalsTotal,TOTAL:
MsgOrderTotalsTotal2,TOTAL:
