LocaleIdentifier,IT
LanguageName,Italian
MsgError,Errore
MsgNotFound,Non trovato
MsgConfirm,Conferma
MsgWarning,ATTENZIONE!
MsgInfo,Info
MsgActions,Azioni
BtnOK,OK
BtnSelect,Seleziona
BtnCancel,Annulla
BtnApply,Applica
BtnDownload,Scarica
BtnEnter,Invio
BtnBack,Indietro
BtnAdd,Aggiungi
BtnStarting,Avviamento
BtnStart,Inizio
BtnEnd,Fine
BtnStop,Stop
BtnUpdate,Aggiorna
BtnManage,Manager
BtnActual,Attuale
BtnClose,Chiudi
BtnCLOSE,CHIUDI
BtnYes,Sì
BtnNo,No
BtnSelectAll,Seleziona tutto
BtnUnselectAll,Deseleziona tutto
BtnCustomer,Cliente
BtnManual,Manuale
BtnSkip,Salta
BtnSend,Invia
BtnEdit,Modifica
BtnSignIn,Accedi
BtnShowAll,Mostra tutto
BtnOpen,Apri
BtnRetry,Riprova
BtnAccept,Accetta
BtnReload,Ricarica
BtnRefresh,Aggiorna
BtnSave,Salva
BtnDone,Fatto
BtnPrint,Stampa
BtnPrintLog,Stampa log
BtnDismiss,Cancella
BtnApprove,Accetta
BtnRefund,Rimborso
BtnLogin,Accedi
BtnClear,Cancella
BtnPay,Paga
BtnStack,Impila
BtnExport,Esporta
BtnOriginal,Originale
BtnCustom,Personalizza
BtnSet,Imposta
BtnCheckout,Check-out
BtnAddToOrder,Aggiungi all’ordine
BtnAddToAppointment,Aggiungi a appuntamento
BtnSubmit,Invia
BtnAddTip,Aggiungi mancia
BtnOverride,Revoca
BtnDelete,Cancella
BtnCapture,Acquisisci
BtnCreateNew,Crea nuovo
BtnCredit,Credito
BtnPrintAll,Stampa tutto
BtnWithdraw,Ritira
BtnWithdrawAll,Ritira tutto
BtnVersionStatus,Stato della versione
BtnBankKeyInit,Inizializza Bank Key
BtnConnect,Connetti
BtnDisconnect,Disconnetti
BtnREPRINT,RISTAMPA
BtnADDTIP,AGGIUNGI MANCIA
BtnOptions,Opzioni
BtnFinalize,Finalizza
BtnLogout,Esci
BtnInventory,Inventario
BtnDefault,Predefinito
BtnClosed,Chiuso
BtnWait,Attendere
BtnDriveOff,Contrassegna come\nvendita non pagata
BtnGoToTransaction,Vai a\ntransazione
BtnProceed,Procedi
BtnNext,Avanti
BtnNegative,Negativo
BtnSetTip,Imposta mancia
BtnNoReceipt,Senza ricevuta
BtnEmail,E-mail
BtnFind,Trova
BtnOther,Altro
BtnAddNew,Aggiungi nuovo
BtnOwn,Proprio
BtnResetAllBalances,Reimposta tutto
BtnReset,Ripristina
BtnChange,Modifica
BtnContinue,Continua
BtnStartOver,Ricomincia
BtnConfirm,Conferma
BtnCancelPayment,Anulla\npagamento
BtnCancelServiceFee,Anulla\nservizio a pagamento
BtnSubmitTicket,Invia ticket
BtnSendTicket,Invia ticket
MsgSearch,Cerca
MsgConnecting,Collegamento...
MsgInvalidPIN,PIN non valido
MsgInvalidPassword,Parola chiave non valida
MsgDebugMode,MODALITÀ DI DEBUG
MsgEnterAmount,Inserisci importo
MsgTipIncluded,Mancia inclusa
MsgTipIncludedShort,Mancia inc.
MsgConnectionFailed,Connessione non riuscita
MsgConnectionLost,Connessioni
MsgErrorOnPrinting,Errore stampa
BtnTextSMS,SMS
BtnRemove,Rimuovi
BtnExpensify,Expensify
BtnBegin,Inizio
BtnPrintPDF,Stampa PDF
BtnIUnderstand,Compreso
BtnEnterNewEmail,Inserisci e-mail
MsgUnknownError,Errore sconosciuto
MsgDeleted,Cancellato
MsgMainNotFound,POS principale non impostato
MsgMainFound,On-line
BtnMenu,MENU PRINCIPALE
BtnCashDrawerTills,Cassetti
BtnAccess,Accetta
BtnNetworkSync,Riprova sincronizzazione
BtnManagementConsole,Gestisci i clienti
MsgYes,Sì
MsgNo,No
MsgWith,con
MsgWithAbbreviation,con/
MsgEachAbbreviation,Ogni art.
MsgNote,Note
MsgPaymentDueWarning,"Nonostante avvisi multipli, la tua fattura mensile è stata rimasta non pagata. In caso che la situazione non si sitema presto ti sarà bloccato l'accesso al POS.\n\nPer proseguire, ti preghiamo a fare il pagamento usando nostro portale di fatturazione cliccando in alto a destra della console di management Revel. Se non riesci a pagare usando il portale, chiami in nostro dipartimento fatturazione tra le ore 9 e 18 CET sul 415-744-1433 ext 3.\n\nGrazie,\n\nRevel Systems"
MsgPaymentDueWarningDisableBackend,AZIONE IMMEDIATA RICHIESTA: Disattivazione del account
MsgWrongVersion,La versione del POS %@ differisce dalla versione del POS principale %@. Assicurarsi che le versioni corrispondano per ristabilire la communicazione tra di loro.
MsgWrongTime,La versione del POS %@ differisce dalla versione del POS principale %@. Assicurarsi che le versioni corrispondano per ristabilire la communicazione tra di loro.
MsgMainStationAbsent,Imposta il POS principale per comunicare con il server.
MsgInvalidNetwork,La stampante e lettore di carte non funzioneranno senza connessione alla rete Wi-Fi Revel.
MsgSettingsRefreshRequired,Aggiornamento impostazioni necessario. Esci e l’aggiornamento si avvierà automaticamente.
MsgTroubleshootModeIsOnAlert,Modalità di risoluzione problemi attivata. Vai ad impostazioni di gestione e seleziona modalità risoluzione problemi per disattivarla.
MsgProductName,Nome del prodotto
MsgActionCancelled,Azione annullata
MsgWaitingForPinPad,In attesa di PinPad
MsgPurchaseCorrection,Correzione acquisto
MsgPleaseAskCustomerToPressRedButtonOnPinPad,Chiedi al cliente di premere il pulsante rosso sul PinPad
MsgPaymentNotAddedToCurrentOrder,Il pagamento non e stato aggiunto all ordine corrente.\nContatta l’assistenza clienti.
MsgPaymentFailedToAddCurrentOrder,Non è possibile aggiungere il pagamento all’ordine corrente. Codice di errore - %d\nContatta l’assistenza clienti.
MsgUnableToCompletePayment,Stai tentando di chiudere un ticket creato da %@.\nInserisci il PIN amministratore per procedere.
MsgUnableToCompletePaymentSwipeCard,Stai tentando di chiudere un ticket creato da %@.\nStriscia la carta amministratore per procedere.
MsgUpdating,Aggiornamento
MsgLockingFuelTransaction,Blocca transazioni carburanti
MsgReleasingLock,Sblocco
MsgPaymentRefundNotSupportedCalliZettleCustomerSupport,Non è possibile effettuare il rimborso. Contatta l’assistenza clienti di iZettle.
MsgSyncingToCloud,Sincronizzazione con il cloud
MsgUINotificationShowingNotificationNumberFromStack,Visualizza 1 di %d
MsgSelected,Selezionato
MsgPaypalPaymentMaxAmount,Importo massimo per il pagamento con carta di credito è di %@.
MsgPaypalTipAmountExceed,Importo della mancia non può superare l’importo della ricevuta.
MsgPayPalOrderHasSplitBills,Ordine dispone delle ricevute separate. Si prega di pagare ciascuna separatamente.
MsgCrashTitle,Il POS si è bloccato.
MsgCrashPlaceholder,Indica in breve come si è verificato il problema.
MsgScalesNet,NETTO 
MsgScalesMultiplyTare,Tare multiple
MsgScalesSetTare,Imposta tara
MsgScalesEnterWeight,Inserisci il peso
MsgScalesTare,Tara
MsgScalesOverrideError,"È possibile eseguire la modifica del peso solo se il peso visualizzato è pari a 0,0."
MsgScalesSelectTareCount,Seleziona il valore della tara
MsgScalesCurrentTare,Tara corrente
MsgScalesWeight,Peso
MsgScalesPrice,Prezzo
MsgScalesInputTare,Inserisci tara
MsgScalesEnterTareWeight,Inserisci tara
MsgBarcodeScanProduct,Scansiona il prodotto
MsgBarcodeScanDiscountCode,Scansione il codice sconto
MsgBarcodeEnterBarcode,Inserisci il codice a barre
MsgBarcodeEnterBarcodeWithTouch,Tocca qui per inserire il codice a barre.
MsgBarcodeProductNotFound,Il prodotto con il codice a barre inserito\n%@\nnon è stato trovato
MsgBarcodeProductCloseMatch,Codice a barre non esistente. Codici a barre simili:
MsgBarcodeTheExactMatchesFound,Corrispondenze trovate:
MsgBarcodeSeveralProductsOrIngredientsWereFound,Sono stati trovati i seguenti prodotti e ingredienti:
MsgBarcodeSelectProduct,Seleziona il prodotto
MsgBarcodeNameorBarcode,Nome o codice a barre
MsgBarcodeNameorBarcodePhone,Nome/codice a barre
MsgBarcodeProductNotActive,Il prodotto con il codice a barre inserito\n%@\nnon è attivo
MsgMeasureUnitPounds,Libbre
MsgMeasureUnitKilograms,Chilogrammi
MsgMeasureUnitLiters,Litri
MsgMeasureUnitGallons,Galloni
MsgMeasureUnitCubicMeters,Metri cubi
MsgMeasureUnitShortPounds,Lb
MsgMeasureUnitShortKilograms,Kg
MsgMeasureUnitShortLiters,L
MsgMeasureUnitShortGallons,G
MsgMeasureUnitShortCubicMeters,m3
BtnPayTransaction,Paga\ntransazione
BtnClearTransaction,Anulla\ntransazione
BtnStackTransaction,Impila\ntransazione
BtnOrderFastCreditShell,Fast\nCredit
BtnOrderFastCashShell,Fast\nCash
BtnGasStationActionBlockPump,Blocca\ndistributore
BtnGasStationActionUnblockPump,Sblocca\ndistributore
BtnGasStationActionTogglePumpLights,Inverti\nluci distributore
BtnGasStationActionStopAllPumps,Arresta\ntutti i distributori
BtnGasStationActionStopPump,Arresta\ndistributore
BtnGasStationActionReservePump,Prenota\npompa
BtnGasStationActionPrePay,Prepagato
BtnGasStationActionCancelReservePump,Annulla\nprenotazione
BtnGasStationActionAuthorizePump,Autorizza\ndistributore
BtnGasStationActionCancelAuthorizePump,Annulla\nautorizzazione
BtnGasStationActionPausePump,Pausa\nerogazione
BtnGasStationActionResumePump,Ripristino\nerogazione
BtnGasStationForecourtConnectionLost,Connessione col piazzale persa. Riconnettere
BtnGasStationForecourtConnected,Piazzale connesso
BtnGasStationFuelling,Rifornimento in corso
MsgGasStationChooseTransactionToWork,Gestisci transazione
