LocaleIdentifier,LT
LanguageName,Lithuanian
MsgError,Triktis
MsgNotFound,Nerasta
MsgConfirm,Patvirtinti
MsgWarning,ĮSPĖJIMAS!
MsgInfo,Informacija
MsgActions,Veiksmai
BtnOK,Gerai
BtnSelect,Pasirinkti
BtnCancel,Atšaukti
BtnApply,Taikyti
BtnDownload,Atsisiųsti
BtnEnter,Įvesti
BtnBack,Atgal
BtnAdd,Pridėti
BtnStarting,Pradedama
BtnStart,Pradėti
BtnEnd,Baigti
BtnStop,Sustabdyti
BtnUpdate,Atnaujinti
BtnManage,Vadovas
BtnActual,Fakt.
BtnClose,Uždaryti
BtnCLOSE,UŽDARYTI
BtnYes,Taip
BtnNo,Ne
BtnSelectAll,Pažymėti viską
BtnUnselectAll,Nežymėti nieko
BtnCustomer,Pirkėjas
BtnManual,Rankiniu būdu
BtnSkip,Praleisti
BtnSend,Siųsti
BtnEdit,Redaguoti
BtnSignIn,Prisijungti
BtnShowAll,Rodyti visus
BtnOpen,Atidaryti
BtnRetry,Bandyti dar kartą
BtnAccept,Patvirtinti
BtnReload,Perkrauti
BtnRefresh,Atnaujinti
BtnSave,Įrašyti
BtnDone,Atlikta
BtnPrint,Spausdinti
BtnPrintLog,Spausdinti žurnalą
BtnDismiss,Atsisakyti
BtnApprove,Patvirtinti
BtnRefund,Grąžinti pinigus
BtnLogin,Prisijungti
BtnClear,Išvalyti
BtnPay,Mokėti
BtnStack,Sankaupa
BtnExport,Eksportuoti
BtnOriginal,Originalus
BtnCustom,Tinkintas
BtnSet,Nustatyti
BtnCheckout,Atsiskaityti
BtnAddToOrder,Pridėti prie užsakymo
BtnAddToAppointment,Pridėti prie susitikimų
BtnSubmit,Pateikti
BtnAddTip,Pridėti arbatpinigių
BtnOverride,Perrašyti
BtnDelete,Pašalinti
BtnCapture,Užfiksuoti
BtnCreateNew,Sukurti naują
BtnCredit,Kreditas
BtnPrintAll,Spausdinti viską
BtnWithdraw,Atšaukti
BtnWithdrawAll,Atšaukti viską
BtnVersionStatus,Versijos būsena
BtnBankKeyInit,Bankininkystės kodo inic.
BtnConnect,Prijungti
BtnDisconnect,Atjungti
BtnREPRINT,SPAUSDINTI IŠ NAUJO
BtnADDTIP,PRIDĖTI ARBATPINIGIŲ
BtnOptions,Parinktys
BtnFinalize,Baigti
BtnLogout,Atsijungti
BtnInventory,Aprašas
BtnDefault,Numatyt.
BtnClosed,Uždarytas
BtnWait,Laukite
