LocaleIdentifier,PL
LanguageName,Polish
AlphabetString,AĄBCĆDEĘFGHIJKLŁMNŃOÓPRSŚTUWXYZŹŻ
MsgError,Błąd
MsgNotFound,Nie odnaleziono
MsgConfirm,Potwierdź
MsgWarning,UWAGA!
MsgInfo,Info
MsgActions,Operacje
BtnOK,OK
BtnSelect,Wybierz
BtnCancel,Anuluj
BtnApply,Zastosuj
BtnDownload,Pobierz
BtnEnter,Wejdź
BtnBack,Wstecz
BtnAdd,Dodaj
BtnStarting,Rozpoczynanie
BtnStart,Rozpocznij
BtnEnd,Koniec
BtnStop,Zatrzymaj
BtnUpdate,Zaktualizuj
BtnManage,Menedżer
BtnActual,Bieżący stan
BtnClose,Zamknij
BtnCLOSE,ZAMKNIJ
BtnYes,Tak
BtnNo,Nie
BtnSelectAll,Zaznacz wszystko
BtnUnselectAll,Usuń wszystkie zaznaczenia
BtnCustomer,Klient
BtnManual,Ręcznie
BtnSkip,Pomiń
BtnSend,Wyślij
BtnEdit,Edytuj
BtnReorder,Zamów ponownie
BtnSignIn,Zarejestruj się
BtnSignOut,Wyloguj się
BtnSignUp,Zaloguj się
BtnCreateNewOrder,Utwórz nową transakcję
BtnTryAgain,Spróbuj ponownie
BtnShowAll,Pokaż wszystko
BtnOpen,Otwórz
BtnRetry,Spróbuj ponownie
BtnAccept,Akceptuj
BtnReload,Przeładuj
BtnRefresh,Odśwież
BtnSave,Zapisz
BtnDone,Gotowe
BtnPrint,Drukuj
BtnPrintLog,Rejestr
BtnDismiss,Odrzuć
BtnApprove,Zatwierdź
BtnRefund,Zwrot
BtnLogin,Zaloguj
BtnClear,Wyczyść
BtnPay,Zapłać
BtnStack,Przetrzymanie
BtnExport,Eksportuj
BtnOriginal,Oryginał
BtnCustom,Bon paliwowy
BtnSet,Ustaw
BtnCheckout,Zamknięcie kasy
BtnAddToOrder,Dodaj do transakcji
BtnAddToAppointment,Dodaj do wizyty
BtnSubmit,Zatwierdź
BtnAddTip,Dodaj napiwek
BtnOverride,Zastąp
BtnDelete,Usuń
BtnCapture,Przechwyć
BtnCreateNew,Utwórz nowe
BtnCredit,Kredyt
BtnPrintAll,Drukuj wszystko
BtnWithdraw,Wycofaj
BtnWithdrawAll,Wycofaj wszystko
BtnVersionStatus,Status wersji
BtnBankKeyInit,Inicjacja kodu bankowego
BtnConnect,Połącz
BtnDisconnect,Rozłącz
BtnREPRINT,DRUKUJ PONOWNIE
BtnADDTIP,DODAJ NAPIWEK
BtnOptions,Opcje
BtnFinalize,Zakończ płatność
BtnLogout,Wyloguj
BtnInventory,Magazyn
BtnDefault,Domyślnie
BtnClosed,Zamknięte
BtnWait,Czekaj
BtnDriveOff,Oznacz jako\nucieczka
BtnGoToTransaction,Przejdź do\nTransakcji
BtnProceed,Kontynuuj
BtnNext,Dalej
BtnNegative,Ujemny
BtnSetTip,Ustaw napiwek
BtnNoReceipt,Bez paragonu
BtnEmail,Email
BtnFind,Znajdź
BtnOther,Inne
BtnAddNew,Dodaj nowe
BtnOwn,Własne
BtnResetAllBalances,Zresetuj wszystko
BtnReset,Zresetuj
BtnChange,Reszta
BtnContinue,Kontynuuj
BtnStartOver,Zacznij od nowa
BtnConfirm,Potwierdź
BtnCancelPayment,Anuluj\npłatność
BtnCancelServiceFee,Anuluj\nopłatę serwisową
BtnSubmitTicket,Zatwierdź zgłoszenie
BtnSendTicket, Wyślij zgłoszenie
MsgSearch,Szukaj
MsgConnecting,Łączenie...
MsgInvalidPIN,Nieprawidłowy kod PIN
MsgInvalidPassword,Nieprawidłowe hasło
MsgDebugMode,TRYB DEBUGOWANIA
MsgEnterAmount,Wpisz kwotę
MsgTipIncluded,Napiwek wliczony
MsgTipIncludedShort,Opł. za usługę wlicz.
MsgConnectionFailed,Połączenie nieudane
MsgConnectionLost,Połączenia
MsgErrorOnPrinting,Wystąpił błąd podczas drukowania.
BtnTextSMS,SMS
BtnRemove,Usuń
BtnExpensify,Expensify
BtnBegin,Początek
BtnPrintPDF,Drukuj PDF
BtnIUnderstand,Rozumiem
BtnEnterNewEmail,Wprowadź adres e-mail
MsgUnknownError,Nieznany błąd
MsgDeleted,Usunięto
MsgMainNotFound,Nie ma głównego
MsgMainFound,Online
MsgPlainNew,Nowy
BtnTimeClock,Czas zegarowy
BtnAbout,O działalności
BtnMenu,MENU
BtnCashDrawerTills,Szuflady kasowe
BtnAccess,Akceptuj
BtnNetworkSync,Ponów próbę synchronizacji
BtnManagementConsole,Zaplecze konsoli zarzdądzania
MsgYes,Tak
MsgNo,Nie
MsgWith,Z
MsgWithAbbreviation,w skrócie/
MsgEachAbbreviation,każdy
MsgNote,Uwaga
MsgDoYouWantToContinue,Czy chcesz kontynuować?
MsgApplicationIsDisabledJailbrokenDevice,"Wydaje się, że system operacyjny tego urządzenia został zmodyfikowany. W celu zachowania bezpieczeństwa, Revel POS wymaga poprawy tego, aby uruchomić system. Proszę skontaktować się z obsługą Revel."
MsgApplicationIsDisabledUnsupportedHardware,Aplikacja może nie być kompatybilna z tym urządzeniem. Proszę sprawdzić rodzaj sprzętu.
MsgPaymentDueWarning,"Twój miesięczny rachunek jest w dalszym ciągu niezapłacony, pomimo wielokrotnych upomnień. Jeśli rachunek nie zostanie uregulowany natychmiast, Twój dostęp do aplikacji POS zostanie przerwany.\n\nAby kontynuować transakcje, należy dokonać płatności za pomocą naszego portalu rozliczeniowego klikając na link znajdujący się w prawym górnym rogu Twojej konsoli zarządzania Revel. Jeśli nie jesteś w stanie zapłacić za pośrednictwem portalu, prosimy o kontakt z naszym działem rozliczeń między 9 rano a 6 po południu PST na 415-744-1433 ext 3.\n\nDziękujemy,\n\nRevel Systems"
MsgPaymentDueWarningDisableBackend,WYMAGANE NATYCHMIASTOWE DZIAŁANIE: Dezaktywacja konta nieunikniona
MsgPaymentDueWarningDisableFrontend,WYMAGANE NATYCHMIASTOWE DZIAŁANIE: Konto zostało zdezaktywowane. Proszę skontaktować się z Revel Billing at 415-744-1433 ext 3
MsgWrongVersion,"Wersja stanowiska POS %@ różni się od wersji głównej %@. Upewnij się, żeby wersje pasowały, aby przywrócić komunikację pomiędzy stanowiskami"
