LocaleIdentifier,QA
LanguageName,Ж-test
AlphabetString,ЖABCDEFGHIJKLMNOPQRSTUVWXYZ
MsgError,ЖError
MsgNotFound,ЖNot Found
MsgConfirm,ЖConfirm
MsgWarning,ЖWARNING!
MsgInfo,ЖInfo
MsgActions,ЖActions
BtnOK,ЖOK
BtnSelect,ЖSelect
BtnCancel,ЖCancel
BtnApply,ЖApply
BtnDownload,ЖDownload
BtnEnter,ЖEnter
BtnBack,ЖBack
BtnAdd,ЖAdd
BtnStarting,ЖStarting
BtnStart,ЖStart
BtnEnd,ЖEnd
BtnStop,ЖStop
BtnUpdate,ЖUpdate
BtnManage,ЖManage
BtnActual,ЖActual
BtnClose,ЖClose
BtnCLOSE,ЖCLOSE
BtnYes,ЖYes
BtnNo,ЖNo
BtnSelectAll,ЖSelect All
BtnUnselectAll,ЖUnselect All
BtnCustomer,ЖCustomer
BtnManual,ЖManual
BtnSkip,ЖSkip
BtnSend,ЖSend
BtnEdit,ЖEdit
BtnReorder,ЖReorder
BtnSignIn,ЖSign In
BtnSignOut,ЖSign Out
BtnSignUp,ЖSign Up
BtnCreateNewOrder,ЖCreate a New Order
BtnTryAgain,ЖTry Again
BtnShowAll,ЖShow All
BtnOpen,ЖOpen
BtnRetry,ЖRetry
BtnAccept,ЖAccept
BtnReload,ЖReload
BtnRefresh,ЖRefresh
BtnSave,ЖSave
BtnDone,ЖDone
BtnPrint,ЖPrint
BtnPrintLog,ЖPrint Log
BtnDismiss,ЖDismiss
BtnOrderClose,ЖClose Order
BtnApprove,ЖApprove
BtnRefund,ЖRefund
BtnLogin,ЖLogin
BtnClear,ЖClear
BtnPay,ЖPay
BtnStack,ЖStack
BtnExport,ЖExport
BtnOriginal,ЖOriginal
BtnCustom,ЖCustom
BtnSet,ЖSet
BtnCheckout,ЖCheckout
BtnAddToOrder,ЖAdd to Order
BtnAddToAppointment,ЖAdd to Appointment
BtnSubmit,ЖSubmit
BtnAddTip,ЖAdd Tip
BtnOverride,ЖOverride
BtnDelete,ЖDelete
BtnCapture,ЖCapture
BtnCreateNew,ЖCreate New
BtnCredit,ЖCredit
BtnPrintAll,ЖPrint All
BtnWithdraw,ЖWithdraw
BtnWithdrawAll,ЖWithdraw All
BtnVersionStatus,ЖVersion Status
BtnBankKeyInit,ЖBank Key Init.
BtnConnect,ЖConnect
BtnDisconnect,ЖDisconnect
BtnREPRINT,ЖREPRINT
