LocaleIdentifier,RU
LanguageName,Russian
MsgError,Ошибка
MsgNotFound,Не Найдено
MsgConfirm,Подтвердить
MsgWarning,ПРЕДУПРЕЖДЕНИЕ!
MsgInfo,Информация
MsgActions,Действия
BtnOK,Да
BtnSelect,Выберите
BtnCancel,Отмена
BtnApply,Применить
BtnDownload,Скачать
BtnEnter,Ввод
BtnBack,Назад
BtnAdd,Добавить
BtnStarting,Начальный
BtnStart,Старт
BtnEnd,Закончить
BtnStop,Стоп
BtnUpdate,Обновить
BtnManage,Менеджер
BtnActual,Фактический
BtnClose,Закрыть
BtnCLOSE,ЗАКРЫТЬ
BtnYes,Да
BtnNo,Нет
BtnSelectAll,Выделить все
BtnUnselectAll,Снять выделение
BtnCustomer,Клиент
BtnManual,Ручной ввод
BtnSkip,Пропустить
BtnSend,Отправить
BtnEdit,Редактировать
BtnSignIn,Вход
BtnShowAll,Показать все
BtnOpen,Открыть
BtnRetry,Повторить
BtnAccept,Принять
BtnReload,Перезагрузить
BtnRefresh,Обновить
BtnSave,Сохранить
BtnDone,Готово
BtnPrint,Распечатать
BtnPrintLog,Распечатать журнал
BtnDismiss,Отклонить
BtnApprove,Подтвердить
BtnRefund,Возмещение
BtnLogin,Войти
BtnClear,Очистить
BtnPay,Оплатить
BtnStack,В очередь
BtnExport,Экспорт
BtnOriginal,Исходный
BtnCustom,Пользовательский
BtnSet,Установить
BtnCheckout,Оформить
BtnAddToOrder,Добавить в заказ
BtnAddToAppointment,Добавить к Визиту
BtnSubmit,Отправить
BtnAddTip,Добавить чаевые
BtnOverride,Скорректировать
BtnDelete,Удалить
BtnCapture,Обработать
BtnCreateNew,Создать новый
BtnCredit,Кред. карта
BtnPrintAll,Распечатать все
BtnWithdraw,Снять со счёта
BtnWithdrawAll,Снять всё со счёта
BtnVersionStatus,Статус версии
BtnBankKeyInit,Иниц. банковского ключа
BtnConnect,Соединить
BtnDisconnect,Разъединить
BtnREPRINT,ПОВТОРНАЯ ПЕЧАТЬ
BtnADDTIP,ДОБАВИТЬ ЧАЕВЫЕ
BtnOptions,Параметры
BtnFinalize,Завершить
BtnLogout,Выход
BtnInventory,Складские запасы
BtnDefault,По умолчанию
BtnClosed,Закрытый
BtnWait,Подождать
BtnDriveOff,Пометить как\nбез оплаты
BtnGoToTransaction,Перейти к \n Транзакции
BtnProceed,Продолжить
BtnNext,Далее
BtnNegative,Отрицательный
BtnSetTip,Установить Чаевые
BtnNoReceipt,Без чека
BtnEmail,Эл. почта
BtnFind,Найти
BtnOther,Прочее
BtnAddNew,Добавить новый
BtnOwn,Собственный
BtnResetAllBalances,Сбросить все
BtnReset,Сбросить
BtnChange,Сдача
BtnContinue,Продолжить
BtnStartOver,Начать заново
BtnConfirm,Подтвердить
BtnCancelPayment,Отменить\nплатеж
BtnCancelServiceFee,Отменить\nсбор за обслуживание
BtnSubmitTicket,Подать запрос
BtnSendTicket,Отправить запрос
MsgSearch,Поиск
MsgConnecting,Соединение...
MsgInvalidPIN,Неверный пинкод
MsgInvalidPassword,Неверный пароль
MsgDebugMode,РЕЖИМ ОТЛАДКИ
MsgEnterAmount,Введите сумму
MsgTipIncluded,Включено
MsgTipIncludedShort,Обсл. Сдача Вкл.
MsgConnectionFailed,Ошибка подключения
MsgConnectionLost,Тесты соединения
MsgErrorOnPrinting,Во время печати произошла ошибка.
BtnTextSMS,SMS
BtnRemove,Удалить
BtnExpensify,Expensify
BtnBegin,Начать
BtnPrintPDF,печатать PDF
BtnIUnderstand,Я Понимаю
BtnEnterNewEmail,Введите адрес эл. почты
MsgUnknownError,Неизвестная ошибка
MsgDeleted,Удалено
MsgMainNotFound,Нет Основного
MsgMainFound,В сети
BtnMenu,ВЕРХНЕЕ МЕНЮ
BtnCashDrawerTills,Кассовые аппараты
BtnAccess,Принять
BtnNetworkSync,Синхронизировать опять
BtnManagementConsole,Редактировать клиентов
MsgYes,Да
MsgNo,Нет
MsgWith,у
MsgWithAbbreviation,c
MsgEachAbbreviation,например
MsgNote,Примечание
MsgWrongVersion,Версия POS-станции %@ отличается от версии главной станции %@. Для восстановления связи между станциями убедитесь
MsgWrongTime,Версия POS-станции %@ отличается от версии главной станции %@. Для восстановления связи между станциями убедитесь
MsgMainStationAbsent,Для взаимодействия с сервером установите версию главной станции.
MsgInvalidNetwork,Принтер и кардридер будут работать только при подключении к правильной беспроводной сети Revel.
MsgSettingsRefreshRequired,Требуется обновить настройки.  Выйдите из системы
MsgTroubleshootModeIsOnAlert,"Включен режим поиска и устранения неисправностей. Чтобы отключить данный режим, перейдите в меню «Настройки менеджера» и выберите пункт «Режим поиска и устранения неисправностей»."
MsgProductName,Название продукта
MsgActionCancelled,Действие отменено
MsgWaitingForPinPad,Ожидание PinPad
MsgPurchaseCorrection,Коррекция покупки
MsgPleaseAskCustomerToPressRedButtonOnPinPad,"Пожалуйста, попросите клиента нажать красную кнопку на PinPad"
MsgPaymentNotAddedToCurrentOrder,Платеж не был добавлен к текущему заказу.\nОбратитесь в службу поддержки!
MsgPaymentFailedToAddCurrentOrder,Не удалось добавить платеж к текущему заказу. Код ошибки — %d.\nОбратитесь в службу поддержки!
MsgUnableToCompletePayment,"Вы пытаетесь закрыть запрос, владельцем которого является %@.\nВведите пин менеджера, чтобы продолжить."
