LocaleIdentifier,TH
LanguageName,Thai
MsgError,ข้อผิดพลาด
MsgConfirm,ยืนยัน
MsgWarning,ข้อควรระวัง!
MsgInfo,ข้อมูล
MsgActions,การดำเนินการ
BtnOK,ตกลง
BtnSelect,เลือก
BtnCancel,ยกเลิก
BtnApply,สมัคร
BtnDownload,ดาวน์โหลด
BtnEnter,ป้อนข้อมูล
BtnBack,ย้อนกลับ
BtnAdd,เพิ่ม
BtnStarting,ตั้งต้น
BtnStart,เริ่ม
BtnUpdate,อัปเดต
BtnManage,ผู้จัดการ
BtnActual,ค่าจริง
BtnClose,ปิด
BtnCLOSE,ปิด
BtnYes,ใช่
BtnNo,ไม่ใช่
BtnSelectAll,เลือกทั้งหมด
BtnUnselectAll,ยกเลิกการเลือกทั้งหมด
BtnCustomer,ลูกค้า
BtnManual,คู่มือ
BtnSkip,ข้าม
BtnSend,ส่ง
BtnEdit,แก้ไข
BtnSignIn,เข้าสู่ระบบ
BtnShowAll,แสดงทั้งหมด
BtnOpen,เปิด
BtnRetry,ลองใหม่
BtnAccept,ยอมรับ
BtnReload,โหลดใหม่
BtnRefresh,รีเฟรช
BtnSave,บันทึก
BtnDone,เสร็จเรียบร้อย
BtnPrint,พิมพ์
BtnPrintLog,พิมพ์บันทึก
BtnDismiss,ยกเลิก
BtnRefund,การขอคืนเงิน
BtnLogin,เข้าสู่ระบบ
BtnClear,ลบ
BtnPay,ชำระเงิน
BtnStack,เรียงซ้อน
BtnExport,ส่งออก
BtnOriginal,ดั้งเดิม
BtnCustom,กำหนดเอง
BtnCheckout,เช็กเอาต์
BtnAddToOrder,เพิ่มไปยังคำสั่งซื้อ
BtnSubmit,ส่ง
BtnAddTip,เพิ่มทิป
BtnOverride,แทนที่
BtnDelete,ลบ
BtnCapture,เก็บข้อมูล
BtnCreateNew,สร้างใหม่
BtnCredit,เครดิต
BtnPrintAll,พิมพ์ทั้งหมด
BtnVersionStatus,สถานะรุ่น
BtnBankKeyInit,เริ่มต้นคีย์ธนาคาร
BtnConnect,เชื่อมต่อ
BtnDisconnect,ยกเลิกการเชื่อมต่อ
BtnREPRINT,พิมพ์อีกครั้ง
BtnADDTIP,เพิ่มทิป
BtnOptions,ตัวเลือก
BtnLogout,ออกจากระบบ
BtnInventory,สินค้าคงเหลือ
BtnDefault,ค่าเริ่มต้น
BtnClosed,ปิด
BtnWait,รอ
BtnDriveOff,ทำเครื่องหมายเป็น\nนำออก
BtnProceed,รายรับ
BtnNext,ถัดไป
BtnNegative,ติดลบ
BtnNoReceipt,ไม่มีใบเสร็จ
BtnEmail,อีเมล
BtnFind,ค้นหา
BtnOther,อื่น ๆ
BtnAddNew,เพิ่มใหม่
BtnOwn,ของตัวเอง
BtnResetAllBalances,ตั้งค่าทั้งหมดใหม่
BtnReset,ตั้งค่าใหม่
BtnChange,เปลี่ยนแปลง
BtnContinue,ดำเนินการต่อ
BtnStartOver,เริ่มใหม่
BtnConfirm,ยืนยัน
BtnCancelPayment,ยกเลิก\nการชำระเงิน
BtnCancelServiceFee,ยกเลิก\nค่าธรรมเนียมการบริการ
BtnSubmitTicket,ส่งตั๋ว
BtnSendTicket,ส่งตั๋ว
MsgSearch,ค้นหา
MsgConnecting,กำลังเชื่อมต่อ...
MsgInvalidPIN,PIN ไม่ถูกต้อง
MsgDebugMode,โหมดแก้จุดบกพร่อง
MsgEnterAmount,ป้อนจำนวนเงิน
MsgTipIncluded,รวมถึง
MsgTipIncludedShort,การบริการ ค่าธรรมเนียม รายรับ
MsgConnectionFailed,การเชื่อมต่อล้มเหลว
MsgConnectionLost,การเชื่อมต่อ
MsgErrorOnPrinting,เกิดข้อผิดพลาดขึ้นขณะที่กำลังพิมพ์
BtnTextSMS,SMS
BtnRemove,ลบออก
BtnEnterNewEmail,ป้อนอีเมล
MsgDeleted,ลบแล้ว
BtnMenu,เมนูสุดฮิต
BtnCashDrawerTills,ลิ้นชักเก็บเงิน
BtnAccess,ยอมรับ
BtnNetworkSync,เครือข่าย SSID:
BtnManagementConsole,จัดการลูกค้า
MsgYes,ใช่
MsgNo,ไม่ใช่
MsgWith,พร้อมด้วย
MsgWithAbbreviation,พร้อมด้วย
MsgWrongVersion,เวอร์ชันเครื่องบริการ POS %@ แตกต่างจากเวอร์ชันเครื่องบริการหลัก %@ ต้องแน่ใจว่าเวอร์ชันตรงกันเพื่อคืนค่าการสื่อสารระหว่างเครื่องบริการ
MsgWrongTime,เวอร์ชันเครื่องบริการ POS %@ แตกต่างจากเวอร์ชันเครื่องบริการหลัก %@ ต้องแน่ใจว่าเวอร์ชันตรงกันเพื่อคืนค่าการสื่อสารระหว่างเครื่องบริการ
MsgMainStationAbsent,โปรดตั้งค่าเครื่องบริการหลักเพื่อสื่อสารกับเซิร์ฟเวอร์
MsgInvalidNetwork,เครื่องพิมพ์ และเครื่องรูดบัตรจะไม่ทำงาน หากคุณไม่ได้เชื่อมต่อกับเครือข่ายสัญญาณไร้สาย Revel ที่ถูกต้อง
MsgSettingsRefreshRequired,จำเป็นต้องรีเฟรชการตั้งค่า  โปรดออกจากระบบ และการรีเฟรชจะเริ่มโดยอัตโนมัติ
MsgTroubleshootModeIsOnAlert,โหมดการแก้ปัญหาเปิดทำงานอยู่ ไปยังการตั้งค่าผู้จัดการ และเลือกโหมดการแก้ปัญหาเพื่อปิดการทำงาน
MsgProductName,ชื่อผลิตภัณฑ์
MsgActionCancelled,การดำเนินการถูกยกเลิก
MsgWaitingForPinPad,กำลังรอ PinPad
MsgPurchaseCorrection,การแก้ไขการสั่งซื้อ
MsgPaymentNotAddedToCurrentOrder,การชำระเงินไม่ได้ถูกเพิ่มไปยังคำสั่งซื้อปัจจุบัน\nโปรดติดต่อฝ่ายช่วยเหลือลูกค้า!
MsgPaymentFailedToAddCurrentOrder,ล้มเหลวในการเพิ่มการชำระเงินไปยังคำสั่งซื้อปัจจุบัน รหัสข้อผิดพลาด - %d\nโปรดติดต่อฝ่ายช่วยเหลือลูกค้า!
